BBL,Borough,Block,Lot,Name of Plan,Date Adopted,Status,Expiration,Last Updated,Disposition,Source,Justification for Inclusion,Second Evaluation Needed
2029130001,2,2913,1,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029140001,2,2914,1,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029150001,2,2915,1,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029160002,2,2916,2,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029190005,2,2919,5,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,Manual,Potentially Removed from Plan in Last Revision,
2029190041,2,2919,41,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,Manual,Potentially Removed from Plan in Last Revision,
2029200002,2,2920,2,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029210001,2,2921,1,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029220002,2,2922,2,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029280028,2,2928,28,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029290008,2,2929,8,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,Manual,Potential Lot Mergers,
2029290050,2,2929,50,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029290058,2,2929,58,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029290065,2,2929,65,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029290066,2,2929,66,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029290067,2,2929,67,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029290068,2,2929,68,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029290169,2,2929,169,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029290170,2,2929,170,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029290171,2,2929,171,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029290172,2,2929,172,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029297501,2,2929,7501,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,Manual,Potential Lot Mergers,
2029300012,2,2930,12,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,Manual,Potential Lot Mergers,
2029300026,2,2930,26,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,Manual,Potential Lot Mergers,
2029300039,2,2930,39,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,Manual,Potential Lot Mergers,
2029300058,2,2930,58,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029300060,2,2930,60,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029300061,2,2930,61,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029300062,2,2930,62,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029300063,2,2930,63,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029300065,2,2930,65,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029300066,2,2930,66,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029300070,2,2930,70,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029300072,2,2930,72,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029300074,2,2930,74,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2029300075,2,2930,75,Bathgate,1975,Active,2024,2010,creation of adjacent bathgate residential and industrial areas,HPD Data Collection,,
2030050001,2,3005,1,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,HPD Data Collection,,
2030050007,2,3005,7,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,HPD Data Collection,,
2030050010,2,3005,10,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,HPD Data Collection,,
2030050057,2,3005,57,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,HPD Data Collection,,
2030050058,2,3005,58,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,HPD Data Collection,,
2030050065,2,3005,65,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,Manual,,
2030050077,2,3005,77,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,HPD Data Collection,,
2030050082,2,3005,82,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,HPD Data Collection,,
2031300002,2,3130,2,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,Manual,,
2031300006,2,3130,6,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,HPD Data Collection,,
2031300007,2,3130,7,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,Manual,,
2031300010,2,3130,10,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,HPD Data Collection,,
2031300014,2,3130,14,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,HPD Data Collection,,
2031300020,2,3130,20,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,Manual,,
2031300100,2,3130,100,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,Manual,,
2031310001,2,3131,1,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,HPD Data Collection,,
2031310002,2,3131,2,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,Manual,,
2031310003,2,3131,3,Bronx Park South,1965,Expired,2005,1989,Residential. Commercial retail and service establishments. Commercial uses permitted in the C-1 district. Public and semi-public uses shall include: community facilities as defined in the Zoning Resolution. A public park with appropriate facilities. Parcel 7 may include space for accessory institutional uses.,Manual,,
