BBL,Borough,Block,Lot,Name of Plan,Date Adopted,Status,Expiration,Last Updated,Disposition,Source,Justification for Inclusion,Second Evaluation Needed
3021630001,3,2163,1,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",HPD,,
3021657501,3,2165,7501,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021657502,3,2165,7502,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021657503,3,2165,7503,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021660001,3,2166,1,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021667501,3,2166,7501,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021670001,3,2167,1,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021687501,3,2168,7501,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021687502,3,2168,7502,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021680036,3,2168,36,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021680037,3,2168,37,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021717501,3,2171,7501,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021757501,3,2175,7501,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021757502,3,2175,7502,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021750030,3,2175,30,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021750060,3,2175,60,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021750070,3,2175,70,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021750075,3,2175,75,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021750080,3,2175,80,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021750090,3,2175,90,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
3021807501,3,2180,7501,Williamsburg I,1970,expired,2010,1999,"comprehensive redevelopment- new and some rehabilitated residential, commercial, institutional and parks and open space",Manual,All lots in block included.,
