BBL,Borough,Block,Lot,Name of Plan,Date Adopted,Status,Expiration,Last Updated,Disposition,Filterable Disposition,Source,Justification for Inclusion
1003960010,1,396,10,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960011,1,396,11,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960012,1,396,12,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960013,1,396,13,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960014,1,396,14,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960015,1,396,15,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960034,1,396,34,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960036,1,396,36,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960037,1,396,37,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960038,1,396,38,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960039,1,396,39,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960041,1,396,41,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960042,1,396,42,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960043,1,396,43,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960044,1,396,44,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960045,1,396,45,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960046,1,396,46,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960048,1,396,48,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960055,1,396,55,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003960057,1,396,57,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950009,1,395,9,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950010,1,395,10,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950011,1,395,11,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950012,1,395,12,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,Manual,Inclusion based on Atlas Boundaries
1003950022,1,395,22,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,Manual,Inclusion based on Atlas Boundaries
1003950019,1,395,19,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950021,1,395,21,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950024,1,395,24,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950026,1,395,26,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950027,1,395,27,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950031,1,395,31,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950032,1,395,32,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950033,1,395,33,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950034,1,395,34,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950035,1,395,35,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950038,1,395,38,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950040,1,395,40,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950042,1,395,42,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
1003950043,1,395,43,East 14th Street-Avenue B,1969,Expired,2009,1969,Residential,,HPD,
