BBL,Borough,Block,Lot,Name of Plan,Date Adopted,Status,Expiration,Last Updated,Disposition,Source,Justification for Inclusion,Second Evaluation Needed
4101030026,4,10103,26,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030027,4,10103,27,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030031,4,10103,31,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030033,4,10103,33,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030035,4,10103,35,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030037,4,10103,37,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030039,4,10103,39,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030040,4,10103,40,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030041,4,10103,41,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030042,4,10103,42,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030043,4,10103,43,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030044,4,10103,44,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030144,4,10103,144,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030045,4,10103,45,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030047,4,10103,47,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
4101030048,4,10103,48,York College,1968,Expired,2008,1996,"laboartory and office space for new Food and Drug Administration location, including campus (research) buildings for CUNY and/or York College",HPD,,
