block,lot,cartodb_id,plan_id,disposition_filterable,in_596,bbl
15905,122,452460,10449,,false,4159050122
15905,171,452580,10449,,false,4159050171
15905,236,452581,10449,,false,4159050236
15961,94,452770,10442,street,false,4159610094
15965,73,452771,10442,residential,true,4159650073
15847,75,452190,10449,,false,4158470075
15852,73,452191,10449,,false,4158520073
15829,54,452192,10442,"community facility, residential",false,4158290054
15833,46,452193,10442,residential,false,4158330046
15838,13,452194,10442,residential,false,4158380013
15905,144,452461,10449,,false,4159050144
15905,228,452462,10449,,false,4159050228
15834,53,452463,10442,residential,false,4158340053
15903,6,452464,10449,,false,4159030006
15903,24,452465,10449,,false,4159030024
15966,18,452772,10442,residential,false,4159660018
15960,34,452773,10442,residential,false,4159600034
15954,33,452794,10442,open space,false,4159540033
15963,53,452795,10442,open space,false,4159630053
15834,17,452466,10442,residential,false,4158340017
15837,12,452467,10442,residential,true,4158370012
15837,41,452468,10442,open space,true,4158370041
15837,52,452469,10442,open space,true,4158370052
15849,1,452195,10449,,false,4158490001
15849,8,452196,10442,residential,true,4158490008
15849,19,452197,10442,residential,true,4158490019
15869,1,452198,10449,,true,4158690001
15905,278,452470,10449,,false,4159050278
15871,1,452199,10449,,true,4158710001
15848,63,452200,10442,residential,true,4158480063
15875,1,452201,10449,,true,4158750001
15881,1,452202,10449,,true,4158810001
15847,84,452203,10442,residential,true,4158470084
15851,59,452204,10442,residential,true,4158510059
15883,1,452205,10449,,true,4158830001
15902,143,452206,10449,,false,4159020143
15829,58,452207,10442,"community facility, residential",false,4158290058
15852,60,452208,10442,"commercial, residential",false,4158520060
15873,1,452209,10449,,true,4158730001
15837,47,452210,10442,open space,true,4158370047
15838,21,452211,10442,residential,false,4158380021
15834,54,452212,10442,residential,false,4158340054
15905,285,452471,10449,,false,4159050285
15907,81,452472,10449,,false,4159070081
15932,51,452473,10449,,false,4159320051
15829,21,452474,10442,residential,false,4158290021
15905,202,452475,10449,,false,4159050202
15908,3,452476,10449,,true,4159080003
15845,44,452213,10449,,false,4158450044
15905,95,452477,10449,,false,4159050095
15908,5,452582,10449,,false,4159080005
15960,43,452583,10442,open space,true,4159600043
15962,59,452584,10442,street,false,4159620059
15905,155,452585,10449,,false,4159050155
15905,246,452607,10449,,false,4159050246
15965,31,452666,10442,residential,false,4159650031
15848,52,452817,10442,residential,true,4158480052
15905,292,452667,10449,,false,4159050292
15845,44,452214,10442,residential,false,4158450044
15837,51,452215,10442,open space,true,4158370051
15847,88,452216,10442,residential,true,4158470088
15849,29,452217,10442,residential,true,4158490029
15849,6,452218,10442,residential,true,4158490006
15849,17,452219,10442,residential,false,4158490017
15921,112,452668,10449,,false,4159210112
15888,1,452220,10449,,true,4158880001
15902,6,452221,10449,,false,4159020006
15845,21,452222,10442,"commercial, residential",false,4158450021
15904,7501,452223,10449,,false,4159047501
15838,17,452224,10442,residential,true,4158380017
15861,1,452225,10449,,true,4158610001
15903,14,452226,10449,,false,4159030014
15905,105,452227,10449,,false,4159050105
15905,116,452228,10449,,false,4159050116
15905,206,452229,10449,,false,4159050206
15965,84,452669,10442,residential,true,4159650084
15967,18,452670,10442,residential,false,4159670018
15966,5,452671,10442,residential,false,4159660005
15865,1,452818,10449,,true,4158650001
15905,213,452819,10449,,false,4159050213
15905,154,452478,10449,,false,4159050154
15905,172,452479,10449,,false,4159050172
15905,201,452480,10449,,false,4159050201
15905,151,452820,10449,,false,4159050151
15905,240,452481,10449,,false,4159050240
15905,169,452821,10449,,false,4159050169
15905,256,452822,10449,,false,4159050256
15909,70,452482,10449,,true,4159090070
15961,85,452483,10442,open space,true,4159610085
15902,31,452484,10449,,false,4159020031
15905,98,452485,10449,,false,4159050098
15905,217,452486,10449,,false,4159050217
15905,107,452487,10449,,false,4159050107
15905,166,452488,10449,,false,4159050166
15905,238,452489,10449,,false,4159050238
15905,252,452230,10449,,false,4159050252
15905,284,452490,10449,,false,4159050284
15913,37,452491,10449,,false,4159130037
15926,44,452492,10449,,false,4159260044
15905,123,452493,10449,,false,4159050123
15962,1,452845,10442,residential,false,4159620001
15918,1,452231,10449,,false,4159180001
15905,245,452494,10449,,false,4159050245
15962,3,452692,10442,residential,false,4159620003
15905,152,452232,10449,,false,4159050152
15905,170,452233,10449,,false,4159050170
15905,199,452234,10449,,false,4159050199
15905,150,452235,10449,,false,4159050150
15905,273,452236,10449,,false,4159050273
15909,1,452237,10449,,false,4159090001
15905,227,452238,10449,,false,4159050227
15905,244,452239,10449,,false,4159050244
15837,33,452240,10442,open space,true,4158370033
15838,3,452241,10442,residential,false,4158380003
15839,40,452242,10442,residential,false,4158390040
15840,1,452243,10442,residential,false,4158400001
15907,50,452495,10449,,true,4159070050
15968,73,452693,10442,residential,false,4159680073
15870,60,452244,10449,,true,4158700060
15837,54,452245,10442,open space,true,4158370054
15849,10,452246,10442,residential,true,4158490010
15902,7,452247,10449,,false,4159020007
15903,5,452248,10449,,false,4159030005
15905,136,452249,10449,,false,4159050136
15905,143,452250,10449,,false,4159050143
15905,254,452251,10449,,false,4159050254
15905,258,452252,10449,,false,4159050258
15829,11,452253,10442,"community facility, residential",false,4158290011
15825,7,452254,10442,"commercial, residential",true,4158250007
15845,8,452255,10442,residential,false,4158450008
15870,71,452256,10449,,true,4158700071
15903,12,452257,10449,,false,4159030012
15905,118,452258,10449,,false,4159050118
15905,129,452259,10449,,false,4159050129
15905,230,452260,10449,,false,4159050230
15905,247,452261,10449,,false,4159050247
15853,102,452262,10442,"commercial, residential",false,4158530102
15861,47,452263,10449,,true,4158610047
15903,16,452264,10449,,false,4159030016
15905,276,452265,10449,,false,4159050276
15845,15,452266,10442,"commercial, residential",false,4158450015
15850,16,452267,10449,,false,4158500016
15831,17,452268,10442,residential,false,4158310017
15849,28,452269,10442,residential,true,4158490028
15903,23,452270,10449,,false,4159030023
15829,8,452271,10442,"community facility, residential",false,4158290008
15851,44,452272,10442,residential,false,4158510044
15851,48,452273,10449,,false,4158510048
15838,9,452274,10442,residential,true,4158380009
15838,39,452275,10442,residential,false,4158380039
15829,15,452276,10442,"community facility, residential",false,4158290015
15829,1,452277,10442,"community facility, residential",false,4158290001
15837,10,452278,10442,residential,true,4158370010
15838,20,452279,10442,residential,true,4158380020
15848,50,452280,10442,residential,false,4158480050
15848,57,452281,10442,residential,true,4158480057
15853,40,452282,10442,"commercial, residential",true,4158530040
15868,1,452283,10449,,true,4158680001
15829,52,452284,10442,"community facility, residential",false,4158290052
15838,27,452285,10442,residential,false,4158380027
15839,26,452286,10442,residential,false,4158390026
15847,80,452287,10442,residential,true,4158470080
15849,18,452288,10442,residential,true,4158490018
15855,90,452289,10449,,false,4158550090
15839,44,452290,10442,residential,false,4158390044
15859,1,452291,10449,,true,4158590001
15905,268,452312,10449,,false,4159050268
15905,106,452292,10449,,false,4159050106
15891,55,452293,10449,,false,4158910055
15905,257,452294,10449,,false,4159050257
15838,12,452295,10442,residential,false,4158380012
15847,79,452296,10442,residential,true,4158470079
15847,87,452297,10442,residential,true,4158470087
15887,1,452298,10449,,true,4158870001
15845,30,452299,10442,residential,true,4158450030
15848,60,452300,10442,residential,true,4158480060
15851,58,452301,10442,residential,true,4158510058
15905,120,452302,10449,,false,4159050120
15850,6,452303,10442,residential,true,4158500006
15905,124,452304,10449,,false,4159050124
15905,200,452305,10449,,false,4159050200
15905,127,452306,10449,,false,4159050127
